age,sex,strata,mortality per 1 rate,pYLD rate,APC in all-cause mortality,expenditure_rate,expenditure_rate_death,income,income_death
23,female,non-maori,0.000366223,0.000266241,-0.0042936,886.7211027,23496.33222,0,0
24,female,non-maori,0.000366223,0.000266241,-0.0042936,886.7211027,23496.33222,0,0
25,female,non-maori,0.000287647,0.000264333,-0.0045355,965.7974335,23206.68184,25821.82414,5910.313688
26,female,non-maori,0.000287647,0.000264333,-0.0045355,965.7974335,23206.68184,25821.82414,5910.313688
27,female,non-maori,0.000287647,0.000264333,-0.0045355,965.7974335,23206.68184,25821.82414,5910.313688
28,female,non-maori,0.000287647,0.000264333,-0.0045355,965.7974335,23206.68184,25821.82414,5910.313688
29,female,non-maori,0.000287647,0.000264333,-0.0045355,965.7974335,23206.68184,25821.82414,5910.313688
30,female,non-maori,0.000398652,0.000341063,-0.0035988,1100.849144,30442.61036,28198.44297,6685.862167
31,female,non-maori,0.000398652,0.000341063,-0.0035988,1100.849144,30442.61036,28198.44297,6685.862167
32,female,non-maori,0.000398652,0.000341063,-0.0035988,1100.849144,30442.61036,28198.44297,6685.862167
33,female,non-maori,0.000398652,0.000341063,-0.0035988,1100.849144,30442.61036,28198.44297,6685.862167
34,female,non-maori,0.000398652,0.000341063,-0.0035988,1100.849144,30442.61036,28198.44297,6685.862167
35,female,non-maori,0.000623051,0.000540701,-0.0060068,1034.211787,34846.00694,28922.09601,7261.51711
36,female,non-maori,0.000623051,0.000540701,-0.0060068,1034.211787,34846.00694,28922.09601,7261.51711
37,female,non-maori,0.000623051,0.000540701,-0.0060068,1034.211787,34846.00694,28922.09601,7261.51711
38,female,non-maori,0.000623051,0.000540701,-0.0060068,1034.211787,34846.00694,28922.09601,7261.51711
39,female,non-maori,0.000623051,0.000540701,-0.0060068,1034.211787,34846.00694,28922.09601,7261.51711
40,female,non-maori,0.000946799,0.000833774,-0.0056557,923.1495247,33328.45219,30890.27852,7704.55038
41,female,non-maori,0.000946799,0.000833774,-0.0056557,923.1495247,33328.45219,30890.27852,7704.55038
42,female,non-maori,0.000946799,0.000833774,-0.0056557,923.1495247,33328.45219,30890.27852,7704.55038
43,female,non-maori,0.000946799,0.000833774,-0.0056557,923.1495247,33328.45219,30890.27852,7704.55038
44,female,non-maori,0.000946799,0.000833774,-0.0056557,923.1495247,33328.45219,30890.27852,7704.55038
45,female,non-maori,0.001434587,0.001341146,-0.0030747,1037.765779,31318.66949,32498.07605,6690.6673
46,female,non-maori,0.001434587,0.001341146,-0.0030747,1037.765779,31318.66949,32498.07605,6690.6673
47,female,non-maori,0.001434587,0.001341146,-0.0030747,1037.765779,31318.66949,32498.07605,6690.6673
48,female,non-maori,0.001434587,0.001341146,-0.0030747,1037.765779,31318.66949,32498.07605,6690.6673
49,female,non-maori,0.001434587,0.001341146,-0.0030747,1037.765779,31318.66949,32498.07605,6690.6673
50,female,non-maori,0.002086851,0.002044091,-0.002397,1216.353897,32936.62452,32204.96293,6747.367871
51,female,non-maori,0.002086851,0.002044091,-0.002397,1216.353897,32936.62452,32204.96293,6747.367871
52,female,non-maori,0.002086851,0.002044091,-0.002397,1216.353897,32936.62452,32204.96293,6747.367871
53,female,non-maori,0.002086851,0.002044091,-0.002397,1216.353897,32936.62452,32204.96293,6747.367871
54,female,non-maori,0.002086851,0.002044091,-0.002397,1216.353897,32936.62452,32204.96293,6747.367871
55,female,non-maori,0.00304881,0.002946817,0.0012925,1452.694392,33081.44971,28648.20342,5477.851711
56,female,non-maori,0.00304881,0.002946817,0.0012925,1452.694392,33081.44971,28648.20342,5477.851711
57,female,non-maori,0.00304881,0.002946817,0.0012925,1452.694392,33081.44971,28648.20342,5477.851711
58,female,non-maori,0.00304881,0.002946817,0.0012925,1452.694392,33081.44971,28648.20342,5477.851711
59,female,non-maori,0.00304881,0.002946817,0.0012925,1452.694392,33081.44971,28648.20342,5477.851711
60,female,non-maori,0.004886484,0.004451967,-0.0035772,1803.651141,29378.18964,21074.35266,4203.530418
61,female,non-maori,0.004886484,0.004451967,-0.0035772,1803.651141,29378.18964,21074.35266,4203.530418
62,female,non-maori,0.004886484,0.004451967,-0.0035772,1803.651141,29378.18964,21074.35266,4203.530418
63,female,non-maori,0.004886484,0.004451967,-0.0035772,1803.651141,29378.18964,21074.35266,4203.530418
64,female,non-maori,0.004886484,0.004451967,-0.0035772,1803.651141,29378.18964,21074.35266,4203.530418
65,female,non-maori,0.008781876,0.007736801,-0.0016543,2392.72538,28292.44496,0,0
66,female,non-maori,0.008781876,0.007736801,-0.0016543,2392.72538,28292.44496,0,0
67,female,non-maori,0.008781876,0.007736801,-0.0016543,2392.72538,28292.44496,0,0
68,female,non-maori,0.008781876,0.007736801,-0.0016543,2392.72538,28292.44496,0,0
69,female,non-maori,0.008781876,0.007736801,-0.0016543,2392.72538,28292.44496,0,0
70,female,non-maori,0.014611106,0.013408383,0.0017302,2866.294867,24879.72376,0,0
71,female,non-maori,0.014611106,0.013408383,0.0017302,2866.294867,24879.72376,0,0
72,female,non-maori,0.014611106,0.013408383,0.0017302,2866.294867,24879.72376,0,0
73,female,non-maori,0.014611106,0.013408383,0.0017302,2866.294867,24879.72376,0,0
74,female,non-maori,0.014611106,0.013408383,0.0017302,2866.294867,24879.72376,0,0
75,female,non-maori,0.025344061,0.024174923,0.0033153,3348.749335,18289.73337,0,0
76,female,non-maori,0.025344061,0.024174923,0.0033153,3348.749335,18289.73337,0,0
77,female,non-maori,0.025344061,0.024174923,0.0033153,3348.749335,18289.73337,0,0
78,female,non-maori,0.025344061,0.024174923,0.0033153,3348.749335,18289.73337,0,0
79,female,non-maori,0.025344061,0.024174923,0.0033153,3348.749335,18289.73337,0,0
