year,age,sex,strata,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
12,62,female,non-maori,0.155,0.080008263,0.109,0.155,0.080008263,0.109
13,62,female,non-maori,0.155,0.086813246,0.109,0.155,0.086813246,0.109
14,62,female,non-maori,0.155,0.093598524,0.109,0.155,0.093598524,0.109
15,62,female,non-maori,0.155,0.100365119,0.109,0.155,0.100365119,0.109
16,62,female,non-maori,0.155,0.107115628,0.109,0.155,0.107115628,0.109
17,62,female,non-maori,0.155,0.1138533,0.109,0.155,0.1138533,0.109
18,62,female,non-maori,0,0,0,0,0,0
19,62,female,non-maori,0,0,0,0,0,0
20,62,female,non-maori,0,0,0,0,0,0
0,62,female,maori,0,0,0,0,0,0
1,62,female,maori,0.138,0.017629879,0.154,0.138,0.017629879,0.154
2,62,female,maori,0.138,0.023895368,0.154,0.138,0.023895368,0.154
3,62,female,maori,0.138,0.030201946,0.154,0.138,0.030201946,0.154
4,62,female,maori,0.138,0.03655522,0.154,0.138,0.03655522,0.154
5,62,female,maori,0.138,0.042955023,0.154,0.138,0.042955023,0.154
6,62,female,maori,0.155,0.049395977,0.109,0.155,0.049395977,0.109
7,62,female,maori,0.155,0.055868873,0.109,0.155,0.055868873,0.109
8,62,female,maori,0.155,0.062362502,0.109,0.155,0.062362502,0.109
9,62,female,maori,0.155,0.068865548,0.109,0.155,0.068865548,0.109
10,62,female,maori,0.155,0.075368134,0.109,0.155,0.075368134,0.109
11,62,female,maori,0.155,0.081862821,0.109,0.155,0.081862821,0.109
12,62,female,maori,0.155,0.088344971,0.109,0.155,0.088344971,0.109
13,62,female,maori,0.155,0.094812569,0.109,0.155,0.094812569,0.109
14,62,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
15,62,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
16,62,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
17,62,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
18,62,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
19,62,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
20,62,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
0,67,male,non-maori,0,0,0,0,0,0
1,67,male,non-maori,0,0,0,0,0,0
2,67,male,non-maori,0,0,0,0,0,0
3,67,male,non-maori,0,0,0,0,0,0
4,67,male,non-maori,0.138,0.012657206,0.154,0.138,0.012657206,0.154
5,67,male,non-maori,0.138,0.014664973,0.154,0.138,0.014664973,0.154
6,67,male,non-maori,0.138,0.016692285,0.154,0.138,0.016692285,0.154
7,67,male,non-maori,0.138,0.018738991,0.154,0.138,0.018738991,0.154
8,67,male,non-maori,0.138,0.020804204,0.154,0.138,0.020804204,0.154
9,67,male,non-maori,0.155,0.022886391,0.109,0.155,0.022886391,0.109
10,67,male,non-maori,0.155,0.024983493,0.109,0.155,0.024983493,0.109
11,67,male,non-maori,0.155,0.027093071,0.109,0.155,0.027093071,0.109
12,67,male,non-maori,0.155,0.02921246,0.109,0.155,0.02921246,0.109
13,67,male,non-maori,0.155,0.031338923,0.109,0.155,0.031338923,0.109
14,67,male,non-maori,0.155,0.033469791,0.109,0.155,0.033469791,0.109
15,67,male,non-maori,0.155,0.035602594,0.109,0.155,0.035602594,0.109
16,67,male,non-maori,0.155,0.037735146,0.109,0.155,0.037735146,0.109
17,67,male,non-maori,0.155,0.039865618,0.109,0.155,0.039865618,0.109
18,67,male,non-maori,0.155,0.041992565,0.109,0.155,0.041992565,0.109
19,67,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
20,67,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
0,67,male,maori,0,0,0,0,0,0
1,67,male,maori,0,0,0,0,0,0
2,67,male,maori,0,0,0,0,0,0
3,67,male,maori,0.138,0.019707788,0.154,0.138,0.019707788,0.154
4,67,male,maori,0.138,0.020902962,0.154,0.138,0.020902962,0.154
5,67,male,maori,0.138,0.02210758,0.154,0.138,0.02210758,0.154
6,67,male,maori,0.138,0.023321433,0.154,0.138,0.023321433,0.154
7,67,male,maori,0.138,0.024544032,0.154,0.138,0.024544032,0.154
8,67,male,maori,0.155,0.025774635,0.109,0.155,0.025774635,0.109
9,67,male,maori,0.155,0.027012286,0.109,0.155,0.027012286,0.109
10,67,male,maori,0.155,0.028255864,0.109,0.155,0.028255864,0.109
11,67,male,maori,0.155,0.029504135,0.109,0.155,0.029504135,0.109
12,67,male,maori,0.155,0.030755815,0.109,0.155,0.030755815,0.109
13,67,male,maori,0.155,0.03200962,0.109,0.155,0.03200962,0.109
14,67,male,maori,0.155,0.033264318,0.109,0.155,0.033264318,0.109
15,67,male,maori,0.155,0.034518776,0.109,0.155,0.034518776,0.109
16,67,male,maori,0.155,0.035771992,0.109,0.155,0.035771992,0.109
17,67,male,maori,0.155,0.037023125,0.109,0.155,0.037023125,0.109
18,67,male,maori,0.155,0.038271502,0.109,0.155,0.038271502,0.109
19,67,male,maori,0,0,0,0,0,0
20,67,male,maori,0,0,0,0,0,0
0,67,female,non-maori,0,0,0,0,0,0
1,67,female,non-maori,0,0,0,0,0,0
2,67,female,non-maori,0.138,0.012717467,0.154,0.138,0.012717467,0.154
3,67,female,non-maori,0.138,0.019217543,0.154,0.138,0.019217543,0.154
4,67,female,non-maori,0.138,0.025781239,0.154,0.138,0.025781239,0.154
5,67,female,non-maori,0.138,0.032415183,0.154,0.138,0.032415183,0.154
6,67,female,non-maori,0.138,0.039117096,0.154,0.138,0.039117096,0.154
7,67,female,non-maori,0.155,0.045877137,0.109,0.155,0.045877137,0.109
8,67,female,non-maori,0.155,0.052680389,0.109,0.155,0.052680389,0.109
9,67,female,non-maori,0.155,0.059509849,0.109,0.155,0.059509849,0.109
10,67,female,non-maori,0.155,0.06634925,0.109,0.155,0.06634925,0.109
11,67,female,non-maori,0.155,0.073185189,0.109,0.155,0.073185189,0.109
12,67,female,non-maori,0.155,0.080008263,0.109,0.155,0.080008263,0.109
13,67,female,non-maori,0.155,0.086813246,0.109,0.155,0.086813246,0.109
14,67,female,non-maori,0.155,0.093598524,0.109,0.155,0.093598524,0.109
15,67,female,non-maori,0.155,0.100365119,0.109,0.155,0.100365119,0.109
16,67,female,non-maori,0.155,0.107115628,0.109,0.155,0.107115628,0.109
17,67,female,non-maori,0.155,0.1138533,0.109,0.155,0.1138533,0.109
18,67,female,non-maori,0,0,0,0,0,0
19,67,female,non-maori,0,0,0,0,0,0
20,67,female,non-maori,0,0,0,0,0,0
0,67,female,maori,0,0,0,0,0,0
1,67,female,maori,0.138,0.017629879,0.154,0.138,0.017629879,0.154
2,67,female,maori,0.138,0.023895368,0.154,0.138,0.023895368,0.154
