year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
2,3,20,female,non-maori,0.0224,0.0114,0.0114
2,3,25,female,non-maori,0.0224,0.0114,0.0114
2,3,30,female,non-maori,0.0224,0.0114,0.0114
2,3,35,female,non-maori,0.0224,0.0114,0.0114
2,3,40,female,non-maori,0.0224,0.0114,0.0114
2,3,45,female,non-maori,0.052562708226836,0.0140835669427912,0.0140835669427912
2,3,50,female,non-maori,0.0536241998946455,0.0145061663947365,0.0145061663947365
2,3,55,female,non-maori,0.05581192586902,0.0154215710543019,0.0154215710543019
2,3,60,female,non-maori,0.0580889052951636,0.0164529697061448,0.0164529697061448
2,3,65,female,non-maori,0.0276789225096448,0.0217017750952961,0.0217017750952961
2,3,70,female,non-maori,0.0300212641553851,0.022450198519258002,0.022450198519258002
2,3,75,female,non-maori,0.0383061375647461,0.0248288759714089,0.0248288759714089
2,3,80,female,non-maori,0.0450638150743706,0.0265297238236334,0.0265297238236334
2,3,85,female,non-maori,0.0574999337301882,0.0293334834775188,0.0293334834775188
2,3,90,female,non-maori,0.0828755505207021,0.0340014736209117,0.0340014736209117
2,3,95,female,non-maori,0.0828755505207021,0.0340014736209117,0.0340014736209117
2,3,100,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
2,3,105,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
2,3,0,male,maori,0.0212,0.0136,0.0197
2,3,5,male,maori,0.0212,0.0136,0.0197
2,3,10,male,maori,0.0212,0.0136,0.0197
2,3,15,male,maori,0.0212,0.0136,0.0197
2,3,20,male,maori,0.0212,0.0136,0.0197
2,3,25,male,maori,0.0212,0.0136,0.0197
2,3,30,male,maori,0.0212,0.0136,0.0197
2,3,35,male,maori,0.0218,0.0134,0.0196
2,3,40,male,maori,0.0225,0.0133,0.0194
2,3,45,male,maori,0.0521446194242817,0.019215153835772998,0.019215153835772998
2,3,50,male,maori,0.0531807100014202,0.0193835109849203,0.0193835109849203
2,3,55,male,maori,0.054682920173979,0.0196135311103247,0.0196135311103247
2,3,60,male,maori,0.0556463793846902,0.0197414113498187,0.0197414113498187
2,3,65,male,maori,0.0191,0.0271,0.0271
2,3,70,male,maori,0.0231,0.0275,0.0275
2,3,75,male,maori,0.0276,0.0276,0.0276
2,3,80,male,maori,0.034,0.0273,0.0273
2,3,85,male,maori,0.0399,0.0268,0.0268
2,3,90,male,maori,0.0498,0.0255,0.0255
2,3,95,male,maori,0.0592,0.0239,0.0239
2,3,100,male,maori,0.0758,0.0217,0.0217
2,3,105,male,maori,0.0758,0.0217,0.0217
2,3,0,male,non-maori,0.0235,0.0113,0.0113
2,3,5,male,non-maori,0.0235,0.0113,0.0113
2,3,10,male,non-maori,0.0235,0.0113,0.0113
2,3,15,male,non-maori,0.0235,0.0113,0.0113
2,3,20,male,non-maori,0.0235,0.0113,0.0113
2,3,25,male,non-maori,0.0243,0.0111,0.0111
2,3,30,male,non-maori,0.0235,0.0113,0.0113
2,3,35,male,non-maori,0.0235,0.0113,0.0113
2,3,40,male,non-maori,0.026000000000000002,0.0107,0.0107
2,3,45,male,non-maori,0.0325,0.0117,0.0117
2,3,50,male,non-maori,0.0346,0.0119,0.0119
2,3,55,male,non-maori,0.0351,0.0121,0.0121
2,3,60,male,non-maori,0.0378,0.0128,0.0128
2,3,65,male,non-maori,0.059000000000000004,0.0147,0.0147
2,3,70,male,non-maori,0.0649,0.0154,0.0154
2,3,75,male,non-maori,0.0697,0.0159,0.0159
2,3,80,male,non-maori,0.0843,0.0172,0.0172
2,3,85,male,non-maori,0.0973,0.0184,0.0184
2,3,90,male,non-maori,0.0973,0.0184,0.0184
2,3,95,male,non-maori,0.1204,0.0202,0.0202
2,3,100,male,non-maori,0.1204,0.0202,0.0202
2,3,105,male,non-maori,0.1204,0.0202,0.0202
3,4,0,female,maori,0.0079,0.0088,0.0128
3,4,5,female,maori,0.0079,0.0088,0.0128
3,4,10,female,maori,0.0079,0.0088,0.0128
3,4,15,female,maori,0.0079,0.0088,0.0128
3,4,20,female,maori,0.0079,0.0088,0.0128
3,4,25,female,maori,0.0079,0.0088,0.0128
3,4,30,female,maori,0.0079,0.0088,0.0128
3,4,35,female,maori,0.0079,0.0088,0.0128
3,4,40,female,maori,0.0079,0.0089,0.0129
3,4,45,female,maori,0.0478422169131618,0.0162760737975983,0.0162760737975983
3,4,50,female,maori,0.0470054064547305,0.0170768537874841,0.0170768537874841
3,4,55,female,maori,0.0453754395996716,0.0187493773705162,0.0187493773705162
3,4,60,female,maori,0.0438019937312177,0.0205864951915985,0.0205864951915985
3,4,65,female,maori,0.0240226223091306,0.0266070857987729,0.0266070857987729
3,4,70,female,maori,0.0266747680582058,0.0287252205626035,0.0287252205626035
3,4,75,female,maori,0.0312119577069899,0.0318365949742408,0.0318365949742408
3,4,80,female,maori,0.0355771625479537,0.0343545150079094,0.0343545150079094
3,4,85,female,maori,0.0416285866238242,0.0372818840289856,0.0372818840289856
3,4,90,female,maori,0.0487093151951462,0.0401271466687813,0.0401271466687813
